NON_GOI,GOI,mcc,TP,TN,FP,FN,sensitivity,specificity,untypeable,snp_sets,partition,type,set
0.239095067226858,0.239095067226858,0.239095067226858,2160,9449,13232,12,0.994475138121547,0.416604206163749,8,"36680, 20347, 44669, 84670, 47867",validation,percent,1
0.24125619503604,0.24125619503604,0.24125619503604,2719,11856,16482,12,0.995606005126327,0.418378149481262,8,"36680, 20347, 44669, 84670, 47867",all,percent,1
0.253459980449175,0.253459980449175,0.253459980449175,559,2449,3208,0,1,0.432914972600318,0,"1089, 20347, 47867, 78586, 40295",training,percent,1
0.24389054250918,0.24389054250918,0.24389054250918,2166,9597,13078,6,0.997237569060773,0.423241455347299,14,"1089, 20347, 47867, 78586, 40295",validation,percent,1
0.245800691682101,0.245800691682101,0.245800691682101,2725,12046,16286,6,0.997803002563164,0.425172949315262,14,"1089, 20347, 47867, 78586, 40295",all,percent,1
0.248112501436819,0.248112501436819,0.248112501436819,559,2386,3271,0,1,0.421778327735549,0,"20347, 47867, 76807, 78586, 28353",training,percent,1
0.239170116095479,0.239170116095479,0.239170116095479,2165,9383,13292,7,0.996777163904236,0.41380374862183,14,"20347, 47867, 76807, 78586, 28353",validation,percent,1
0.2409586275383,0.2409586275383,0.2409586275383,2724,11769,16563,7,0.997436836323691,0.415396018636171,14,"20347, 47867, 76807, 78586, 28353",all,percent,1
0.225262423929954,0.225262423929954,0.225262423929954,559,2109,3548,0,1,0.372812444758706,0,"47867, 76807, 78586, 28353, 40295",training,percent,1
0.217796162198287,0.217796162198287,0.217796162198287,2165,8330,14347,7,0.996777163904236,0.367332539577546,12,"47867, 76807, 78586, 28353, 40295",validation,percent,1
0.219293128757699,0.219293128757699,0.219293128757699,2724,10439,17895,7,0.997436836323691,0.368426625255876,12,"47867, 76807, 78586, 28353, 40295",all,percent,1
0.228179125650018,0.228179125650018,0.228179125650018,559,2145,3512,0,1,0.379176241824289,0,"76807, 40295, 78586, 55994, 28353",training,percent,1
0.217507880240198,0.217507880240198,0.217507880240198,2151,8516,14168,21,0.990331491712707,0.375418797390231,5,"76807, 40295, 78586, 55994, 28353",validation,percent,1
0.219657806889391,0.219657806889391,0.219657806889391,2710,10661,17680,21,0.992310508971073,0.376168801383155,5,"76807, 40295, 78586, 55994, 28353",all,percent,1
0.223889809268344,0.223889809268344,0.223889809268344,559,2092,3565,0,1,0.369807318366625,0,"40295, 55994, 30807, 78586, 28353",training,percent,1
0.212856281605169,0.212856281605169,0.212856281605169,2151,8282,14398,21,0.990331491712707,0.365167548500882,9,"40295, 55994, 30807, 78586, 28353",validation,percent,1
